farm,house,age,avg_weight,expected_stock,expected_mortality_rate,date,expected_mortality,farm_house_key,feed_consumption_per_bird,feed_consumption,price,feed_cost,total_profit,profit_per_bird,profit_loss,priority,cumulative_feed,net_meat,fcr,start_date,end_date,last_date,max_harvest_date
W03,H01,1,0.038,32511,0.001382233689642462,2025-08-17,45,W03_H01,0.009976348445755007,324.79,62.0,5846.22,70856,2.18,0.0,45,324.79,1237.128,0.2625354854146055,2025-08-17,2025-09-30,2025-09-25,2025-09-30
W03,H01,2,0.0583333333333333,32456,0.003074489312546372,2025-08-18,100,W03_H01,0.02328186218022586,757.964305139433,62.0,13643.357492509795,104101,3.2,0.0,44,757.964305139433,1899.099999999999,0.3991176373753006,2025-08-17,2025-09-30,2025-09-25,2025-09-30
W03,H01,3,0.0786666666666666,32404,0.004677004027945923,2025-08-19,152,W03_H01,0.03992834186772462,1299.9070978456427,62.0,23398.327761221568,135388,4.16,0.0,43,1299.9070978456427,2561.0719999999974,0.5075636678100592,2025-08-17,2025-09-30,2025-09-25,2025-09-30
W03,H01,4,0.099,32318,0.007303379012496657,2025-08-20,238,W03_H01,0.060768093624884514,1978.3660560517403,62.0,35610.589008931325,164218,5.04,0.0,42,1978.3660560517403,3223.0440000000003,0.613819127524086,2025-08-17,2025-09-30,2025-09-25,2025-09-30
W03,H01,5,0.1193333333333333,32209,0.010651593298210941,2025-08-21,347,W03_H01,0.08418279470321326,2740.6550643578107,62.0,49331.791158440596,191539,5.88,0.0,41,2740.6550643578107,3885.015999999999,0.7054424137140777,2025-08-17,2025-09-30,2025-09-25,2025-09-30
W03,H01,6,0.1396666666666666,32113,0.013605481547954419,2025-08-22,443,W03_H01,0.11018772730790063,3587.271650236013,62.0,64570.889704248235,217342,6.68,0.0,40,3587.271650236013,4546.9879999999985,0.78893360840979,2025-08-17,2025-09-30,2025-09-25,2025-09-30
W03,H01,7,0.16,32022,0.0164117551284477,2025-08-23,534,W03_H01,0.1386469830329561,4513.791179620919,62.0,81248.24123317655,241707,7.42,0.0,39,4513.791179620919,5208.96,0.8665436439559757,2025-08-17,2025-09-30,2025-09-25,2025-09-30
W03,H01,8,0.2042857142857143,31960,0.018317409611421767,2025-08-24,596,W03_H01,0.17063328974406874,5555.137380907902,62.0,99992.47285634224,312353,9.59,0.0,38,5555.137380907902,6650.725714285714,0.8352678518940428,2025-08-17,2025-09-30,2025-09-25,2025-09-30
W03,H01,9,0.2485714285714285,31915,0.01969387210281888,2025-08-25,641,W03_H01,0.2067808881815061,6731.958595637113,62.0,121175.25472146804,380559,11.69,0.0,37,6731.958595637113,8092.491428571426,0.8318771363623811,2025-08-17,2025-09-30,2025-09-25,2025-09-30
W03,H01,10,0.2928571428571428,31879,0.020789985597541874,2025-08-26,677,W03_H01,0.2468091225985963,8035.117795319901,62.0,144632.12031575822,446492,13.71,0.0,36,8035.117795319901,9534.257142857141,0.8427628576537436,2025-08-17,2025-09-30,2025-09-25,2025-09-30
